Model,Scenario,Region,Variable,Unit,2000,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110
JM_GLB_NITRO_MACRO_TRD,baseline,R11_SAS,Final energy|biomass,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_SAS,Final energy|coal,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_SAS,Final energy|electr,GWa,0.0,0.0,0.0,0.1505864655709652,0.06753412781380685,0.003075448627468919,0.001537724313734459,0.0007688621568672296,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_SAS,Final energy|fueloil,GWa,0.0,0.0,0.0,0.1369830276562647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_SAS,Final energy|gas,GWa,0.0,0.0,0.0,17.74575217105269,8.083136043149807,0.3680993662654117,0.1840496831327059,0.09202484156635293,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_WEU,Final energy|biomass,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_WEU,Final energy|coal,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_WEU,Final energy|electr,GWa,0.0,0.0,0.0,0.01686692482056218,0.001208398506887476,0.0006041992534437379,0.000302099626721869,0.0001510498133609345,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_WEU,Final energy|fueloil,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,R11_WEU,Final energy|gas,GWa,0.0,0.0,0.0,2.018796308883566,0.1446327929552922,0.0723163964776461,0.03615819823882305,0.01807909911941152,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,World,Final energy|biomass,GWa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,World,Final energy|coal,GWa,0.0,0.0,0.0,81.6910638679737,198.1323511215605,285.7917258809648,320.0951249906957,343.0762406478489,362.9766305123612,377.4685183110623,386.7765577870623,392.0333969831408,391.260533120384
JM_GLB_NITRO_MACRO_TRD,baseline,World,Final energy|electr,GWa,0.0,0.0,0.0,6.913001859736445,14.988661019723144,21.096492881265032,23.5735591786833,25.249409911926644,26.705889708139352,27.76765340666724,28.45155053863791,28.83784168925551,28.780746758995885
JM_GLB_NITRO_MACRO_TRD,baseline,World,Final energy|fueloil,GWa,0.0,0.0,0.0,0.4811187539653838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM_GLB_NITRO_MACRO_TRD,baseline,World,Final energy|gas,GWa,0.0,0.0,0.0,107.21356494857912,49.588982863216735,8.861794059620893,3.326700716462107,1.5781455679658767,0.6965131635301702,0.1890311691978539,0.09451558459892695,0.047257792299463475,0.01804046793074865
